test,name,timestamp,seed,run,load,maxIterations,total_runtime,saveMode,train,output,save,k,input,spark.driver.host,spark.driver.port,spark.jars,spark.app.name,spark.executor.id,spark.submit.deployMode,spark.master,spark.app.id,description
740684581,kmeans,1560256306065,127,0,372704787,2,21359567271,error,20246177903,"",0,2,/tmp/spark-bench-test/kmeans-data.parquet,a2bb2d06b0b3,38190,file:/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,local,local-1560256278430,Classic benchmarking A
758830987,kmeans,1560256327888,127,1,100874311,2,17106709819,error,16247004521,"",0,2,/tmp/spark-bench-test/kmeans-data.parquet,a2bb2d06b0b3,38190,file:/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,local,local-1560256278430,Classic benchmarking A
769789005,kmeans,1560256345391,127,2,91548945,2,16170186871,error,15308848921,"",0,2,/tmp/spark-bench-test/kmeans-data.parquet,a2bb2d06b0b3,38190,file:/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,local,local-1560256278430,Classic benchmarking A
757144992,kmeans,1560256361950,127,3,85146019,2,16388243629,error,15545952618,"",0,2,/tmp/spark-bench-test/kmeans-data.parquet,a2bb2d06b0b3,38190,file:/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,local,local-1560256278430,Classic benchmarking A
759612481,kmeans,1560256378760,127,4,91367766,2,16411240158,error,15560259911,"",0,2,/tmp/spark-bench-test/kmeans-data.parquet,a2bb2d06b0b3,38190,file:/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,local,local-1560256278430,Classic benchmarking A
759806024,kmeans,1560256395544,127,5,87121490,2,16279208710,error,15432281196,"",0,2,/tmp/spark-bench-test/kmeans-data.parquet,a2bb2d06b0b3,38190,file:/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,local,local-1560256278430,Classic benchmarking A
754890060,kmeans,1560256412216,127,6,84767968,2,16422297627,error,15582639599,"",0,2,/tmp/spark-bench-test/kmeans-data.parquet,a2bb2d06b0b3,38190,file:/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,local,local-1560256278430,Classic benchmarking A
763744342,kmeans,1560256428998,127,7,80984610,2,16515115250,error,15670386298,"",0,2,/tmp/spark-bench-test/kmeans-data.parquet,a2bb2d06b0b3,38190,file:/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,local,local-1560256278430,Classic benchmarking A
784147535,kmeans,1560256445831,127,8,76945906,2,16422809763,error,15561716322,"",0,2,/tmp/spark-bench-test/kmeans-data.parquet,a2bb2d06b0b3,38190,file:/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,local,local-1560256278430,Classic benchmarking A
746679971,kmeans,1560256462589,127,9,71781911,2,16230643294,error,15412181412,"",0,2,/tmp/spark-bench-test/kmeans-data.parquet,a2bb2d06b0b3,38190,file:/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,driver,client,local,local-1560256278430,Classic benchmarking A
