test,name,timestamp,seed,run,load,maxIterations,total_runtime,saveMode,train,output,save,k,input,spark.driver.host,spark.driver.port,spark.jars,spark.driver.supervise,spark.app.name,spark.rpc.askTimeout,spark.executor.id,spark.submit.deployMode,spark.master,spark.executor.memory,spark.app.id,description
181863463,kmeans,1560626322137,127,0,390789285,2,6923141143,overwrite,6350488395,"",0,2,/tmp/spark_confs/kmeans-data.parquet,147.75.196.99,42864,file:/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,driver,cluster,spark://139.178.64.1:7077,2G,app-20190615191816-0001,Classic benchmarking B
137474319,kmeans,1560626329666,127,1,210808805,2,3191550719,overwrite,2843267595,"",0,2,/tmp/spark_confs/kmeans-data.parquet,147.75.196.99,42864,file:/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,driver,cluster,spark://139.178.64.1:7077,2G,app-20190615191816-0001,Classic benchmarking B
147757867,kmeans,1560626333341,127,2,198967377,2,2503570597,overwrite,2156845353,"",0,2,/tmp/spark_confs/kmeans-data.parquet,147.75.196.99,42864,file:/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,driver,cluster,spark://139.178.64.1:7077,2G,app-20190615191816-0001,Classic benchmarking B
100348023,kmeans,1560626336550,127,3,206027678,2,2026778830,overwrite,1720403129,"",0,2,/tmp/spark_confs/kmeans-data.parquet,147.75.196.99,42864,file:/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,driver,cluster,spark://139.178.64.1:7077,2G,app-20190615191816-0001,Classic benchmarking B
76039268,kmeans,1560626338878,127,4,121231422,2,1643311870,overwrite,1446041180,"",0,2,/tmp/spark_confs/kmeans-data.parquet,147.75.196.99,42864,file:/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,driver,cluster,spark://139.178.64.1:7077,2G,app-20190615191816-0001,Classic benchmarking B
75431053,kmeans,1560626340884,127,5,93145756,2,1257397714,overwrite,1088820905,"",0,2,/tmp/spark_confs/kmeans-data.parquet,147.75.196.99,42864,file:/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,driver,cluster,spark://139.178.64.1:7077,2G,app-20190615191816-0001,Classic benchmarking B
71051025,kmeans,1560626342379,127,6,81541947,2,1390316373,overwrite,1237723401,"",0,2,/tmp/spark_confs/kmeans-data.parquet,147.75.196.99,42864,file:/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,driver,cluster,spark://139.178.64.1:7077,2G,app-20190615191816-0001,Classic benchmarking B
69335440,kmeans,1560626344105,127,7,83023683,2,1136266660,overwrite,983907537,"",0,2,/tmp/spark_confs/kmeans-data.parquet,147.75.196.99,42864,file:/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,driver,cluster,spark://139.178.64.1:7077,2G,app-20190615191816-0001,Classic benchmarking B
59683689,kmeans,1560626345546,127,8,111544429,2,1053807107,overwrite,882578989,"",0,2,/tmp/spark_confs/kmeans-data.parquet,147.75.196.99,42864,file:/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,driver,cluster,spark://139.178.64.1:7077,2G,app-20190615191816-0001,Classic benchmarking B
95160029,kmeans,1560626346948,127,9,76702205,2,1352600212,overwrite,1180737978,"",0,2,/tmp/spark_confs/kmeans-data.parquet,147.75.196.99,42864,file:/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,driver,cluster,spark://139.178.64.1:7077,2G,app-20190615191816-0001,Classic benchmarking B
